block,steth_pool_balance,eth_pool_balance
13065292,551201.6381622395,556633.6919789764
13065316,551222.8117178334,556612.5186028132
13065333,551256.8970465296,556578.4336296489
13065443,551290.0041985731,556577.025736302
13065443,551290.0041985731,556577.025736302
13065448,551292.0041985731,556575.0257621726
13065503,551315.2041985731,556537.703324197
13065512,551315.3846195624,556537.5229059415
13065821,551328.9202341881,556543.3483761923
13065970,551478.5331377678,556598.7402700504
13065980,551488.35398179,556588.919614117
13065983,551544.7218720305,556643.3196097774
13066048,551567.2218720304,556619.7998919679
13066129,551566.7572247821,566559.275060603
13066130,553166.7572247821,564958.843300872
13066130,553166.7572247821,564958.843300872
13066158,553294.7705535231,564830.8465401342
13066393,553303.7338296637,564849.5963873628
13066397,553304.2838296638,564849.046274613
13066503,553634.6026084002,566148.3046259864
13066503,553634.6026084002,566148.3046259864
13066535,553691.6349484537,566101.2601585217
13066590,553689.3514766949,566112.2435134109
13066613,553690.5012963791,566111.0934233775
13066728,553916.9997908404,565911.8573717899
13066778,553917.9997908404,565910.8571516755
13066841,553942.2006025891,565890.2112834216
13066860,553948.1652345642,565884.2458493348
13066863,553953.6778525531,565878.732030175
13066880,553956.182429995,565876.2269077024
13066883,553959.7060587194,565872.7025129324
13066976,554359.8260955461,565867.6825260058
13066984,554382.8550416249,565867.6512502093
13066993,554383.2865416249,565867.2196630007
13067011,554385.2865416249,565865.2192589595
13067094,554385.2809261611,565856.7236402397
13067180,554524.9807994167,565734.2946027115
13067198,554525.0092591047,565737.7711704778
13067313,554459.1786955913,565701.7917463923
13067404,554499.5998872913,565770.8999603807
13067544,554504.6946860795,565870.7947373162
13067661,554507.0382317434,565891.2314883204
13067680,554508.0382317434,565890.2312898117
13067709,554505.5397277493,565892.7312898117
13067957,554583.5849707007,566230.7507950071
13068211,554489.2224071869,566229.9177500911
13068222,554492.6858071868,566226.4536200304
13068333,554493.656693335,566229.7347308492
13068391,554497.2869799519,566239.6040316371
13068474,554511.218744812,566225.656902253
13068506,554519.973259465,566229.8292683943
13068535,554519.9737166058,566301.4417232294
13068565,554531.3732114531,566300.0409212059
13068600,554612.0921511026,566318.8262100643
13068600,554612.0921511026,566318.8262100643
13068756,554763.9664600438,566281.6310747163
13068777,554770.3178880978,566275.2783588227
13068781,554775.8953213786,566269.6997969698
13068946,554787.8952160208,566258.5975513549
13068964,554844.1502160208,566202.331335688
13069030,554817.0165435453,566264.983652338
13069055,554817.2165435454,566264.7836122329
13069081,554817.3711131748,566264.62901161
13069110,554846.3722060526,566291.6276608731
13069210,554848.8726550575,566292.1276081457
13069259,554849.0726550575,566290.9273995905
13069279,554853.5919017036,566294.4066535397
13069329,554856.5638364885,566268.3577368382
13069359,554856.8035314885,566268.1179940806
13069375,554858.5671424536,566266.354031852
13069416,554859.0306035421,566265.8904784907
13069445,554877.270042451,566267.6566215355
13069480,554887.299177771,566264.3786356017
13069884,554963.6647780994,566231.4904003206
13069888,554965.221917839,566229.9329582896
13069901,554985.453775758,566209.697188145
13069909,555072.734348777,566122.4000662353
13069970,555072.8078661122,569261.8740595136
13070133,555119.9622870708,569203.3227298317
13070173,555919.9442207384,568769.0837956093
13070176,556719.9442207385,567968.9076182146
13070178,556715.5468268718,567973.3076182145
13070211,556758.7013236757,567930.1448743992
13070234,556760.6972573099,567969.8944256665
13070304,556760.8471086902,567972.7471467697
13070350,556810.8471086902,567852.7215211398
13070521,553563.6877667569,571190.0576412061
13070521,553563.6877667569,571190.0576412061
13070522,554363.6877667569,570389.7480654834
13070524,555163.6877667569,569589.4831948614
13070525,555962.5318320965,568788.5613248172
13070525,555962.5318320965,568788.5613248172
13070528,556762.5318320965,567988.3858111536
13070563,556757.5647718293,567993.3558111535
13070607,556803.5624896565,568011.3544795768
13070653,558191.3070331911,568259.2984827867
13070685,558192.0454513283,568258.5599535016
13070698,558197.0454513283,568253.5592018927
13070702,558200.7917013284,568249.8123898911
13070717,558201.7917013282,568248.8122400395
13070750,558185.7614022127,569266.8726434538
13070751,558188.2982893514,569264.3356859102
13070751,558188.2982893514,569264.3356859102
13070766,558140.0277962934,569619.6256244902
13070830,558148.3317821532,569619.5593057277
13071000,558155.4032122173,569631.2421027427
13071015,558160.3031122173,569626.3412279079
13071058,558154.6969574008,569631.9507417879
13071261,558163.2493234283,569342.7995767574
13071281,558164.2795234282,569341.7691821827
13071426,558550.8216811374,568607.655494949
13071485,558614.1982136419,568585.8583562474
13071494,558646.2841565199,568553.7677338375
13071545,558649.2810555199,568550.7704014187
13071587,558778.4202231298,568404.3024428817
13071613,558778.4703601002,568404.2522991466
13071802,558798.4462330192,568384.0549402577
13072220,558852.0388881754,568411.8796861154
13072353,558851.0767370074,568438.6381693998
13072358,558891.7242164545,568397.9853184453
13072449,558911.7911904852,568378.9156351434
13072480,559063.5333904853,568227.1546056088
13072485,559203.5333904852,568087.1386548043
13072517,559203.5333904852,568052.629365003
13072659,560046.7926130207,568065.5961640023
13072782,560048.4213089702,568052.3087672909
13072806,560047.4240211948,568253.2866761511
13072815,560047.4451211948,568253.2655743529
13072829,560048.4322837974,568252.2783276605
13072870,560058.7626242944,566709.260756523
13072902,560064.0211102975,566704.0021060613
13072933,560163.8597102975,566604.1607489283
13073096,560184.9561258988,566476.7943473221
13073137,560221.6283478795,566472.1393889005
13073144,560222.6283478795,566471.1393713871
13073145,560226.4969531716,566467.2706989981
13073152,560261.4337531715,566429.4031954743
13073231,560261.6870190544,566479.0602858984
13073234,560270.2317698963,566470.5153975872
13073247,560272.4743308363,566468.2728014106
13073316,560273.9750581804,566470.7752127845
13073320,560276.9178839783,566467.8323411777
13073334,560245.3773610966,566449.2071735223
13073363,560309.4745576209,566658.0813437295
13073410,560310.4720719784,566706.9768080782
13073446,560312.470948658,566704.9778864295
13073585,560347.4540542976,566726.4270470978
13073690,560348.1605494786,566725.1198507424
13073760,560348.0405553615,566726.139805992
13073774,560351.9153654996,566722.2649114599
13073803,560371.9889008098,566702.1909556753
13073804,560378.8016239656,566695.3780961897
13074003,560379.9303657667,566680.4377152616
13074077,560384.260811848,566676.1071866128
13074112,560386.260811848,566674.10714892
13074384,560107.8176033604,566618.3099572837
13074399,560110.1047614303,566617.0226390717
13074411,560110.7475325388,566630.3784587188
13074428,560110.7473834277,566617.3147506242
13074517,560112.0647349111,566649.1599578848
13074580,560114.0506956386,566657.8066762444
13074626,560115.0506956386,566656.8066485379
13074693,560119.0765473075,566645.1309053123
13074748,560119.7009087909,566645.1067244424
13074853,560419.010812448,566517.1813500986
13075078,560422.0921583975,566512.0653978768
13075090,560506.9536351023,566502.563011934
13075114,560510.2012513964,566499.3153680253
13075201,560515.8617683831,566596.5327115336
13075210,560522.7927094387,566589.6016920481
13075331,560537.3339665289,566490.4815407312
13075371,560543.8699033426,566486.0449600529
13075470,560543.9729797574,568038.7944159299
13075793,560580.964393331,568120.927556504
13075820,560584.964393331,568072.249094261
13075844,560585.0764400152,568072.1370408372
13075859,560589.4713612631,568067.7418559279
13075890,560647.474923243,568109.7377511684
13075896,560649.7249232432,568107.4876180089
13075903,560659.3081258651,568097.9038521748
13075973,560661.3791594902,568089.656960602
13075999,560663.7409862583,568087.2949968518
13076057,560665.742753447,568100.2916226509
13076108,560667.3515994718,568091.540196751
13076116,560667.7915994718,568091.1001712657
13076465,560669.0711921408,569093.0807390602
13076478,560677.6758208825,569084.4753176046
13076513,560684.5503272275,569077.6001816312
13076555,560694.9779861126,569003.9289611549
13076662,560709.4770602966,568959.6177026832
13076780,560722.4147686871,568957.6308651007
13076796,560712.4096351066,568967.6408651007
13076885,560713.4097879776,568966.6406256659
13076947,560715.9169787294,568974.1322246183
13076982,561163.6461131172,568978.1094688403
13077362,566511.8231839616,570290.4228370507
13077476,566510.8235137644,570275.4701686385
13077594,566541.6166012014,570399.0255325256
13077647,566547.0046886893,570393.6378068468
13077653,566549.0192886894,570391.623342641
13077669,566569.0191343335,570374.722341912
13077683,566575.0128851866,570373.7285050154
13077719,566585.0896305074,570383.6504582077
13077722,566590.8313411924,570377.9091448205
13077774,566639.9282665044,570366.8118582957
13077851,566639.079422654,570370.8117002693
13077854,566738.9794226539,570270.9191680311
13077896,566745.3750705507,570244.2310167543
13077918,566758.1633475507,570231.4437599697
13077932,566769.1946305619,570220.4133660675
13077970,566770.194630562,570219.4134470812
13078093,566790.4594429214,569906.0308852008
13078124,566820.7988417551,569875.694325364
13078230,566824.8538803925,569744.7868072947
13078439,566825.5367871705,569782.057823489
13078811,566828.5277504307,569845.4994779303
13078908,566859.0651443364,569866.2625400907
13079037,566889.3637897002,569835.9668432231
13079056,566859.111075099,569866.2287173016
13079233,566882.7097427214,569781.6235744305
13079235,566933.1620506867,569731.1763994766
13079255,566951.1610644923,569732.9507903169
13079410,566944.8902187126,569939.2035829427
13079415,566938.6900326562,569945.4056511726
13079633,566960.6898850729,569941.0633817394
13079647,567052.1072028975,569874.0832169893
13079651,567051.1075002467,569875.0832169893
13079738,567051.6076991645,569874.5830694039
13079776,567052.6076991645,569870.0724135337
13079794,567053.6076991645,569869.0725163994
13079816,567056.2985741645,569866.3819185407
13079888,567056.5959308434,569919.0793053427
13080134,577077.8453776556,579822.7350927324
