block,crvusd_price,ethusd_price,cvxcrv_crv_1,cvxcrv_crv_10,cvxcrv_crv_100,cvxcrv_crv_1000,cvxcrv_crv_10000,cvxcrv_pool_balance,crv_pool_balance
13117538,2.13776792,3274.0819765700003,0.983026991407528,9.83026806978657,98.3024962567844,983.0065062381892,9828.20709496216,2198157.44985926,1126405.8679058964
13117833,2.11635261,3252.11091658,0.9855108027076162,9.855106395149528,98.5509007492012,985.4926776232584,9853.28406029014,2133726.426904028,1189967.9170588625
13118578,2.07193257,3189.08064216,0.9854038083359512,9.854036442800384,98.54020036235552,985.385587313853,9852.204406667051,2136670.431887196,1187064.54656212
13118666,2.07193257,3189.08064216,0.9779911372151028,9.77990903072528,97.79885614638664,977.9651270686868,9777.289349393875,2307428.950087196,1019268.1691694848
13118765,2.07193257,3189.08064216,0.9785837802267522,9.7858355234713,97.85812733757436,978.558466129181,9783.28623874936,2295889.251240131,1030582.7735084678
13119188,2.09305683,3210.53530701,0.978985805498215,9.789855818088096,97.89833447447614,978.9609570889482,9787.353630091597,2287880.36973498,1038439.419108468
13119876,2.11528056,3199.89101535,0.9799598474460328,9.799596337072138,97.99574961612537,979.9361049097053,9797.205984487307,2267844.071635161,1058108.7393084678
13120106,2.137,3199.89101535,0.9800687697966056,9.8006855715234,98.00664305532496,980.0451489045496,9798.307520211652,2265546.106530994,1060365.8541522075
13120490,2.1590000000000003,3202.42380648,0.9750457070476588,9.750454403558782,97.5042773214348,975.0160794054322,9747.468802833371,2360546.106530994,967419.2750865704
13120652,2.1590000000000003,3202.42380648,0.9760661310575146,9.760658759061425,97.60633241832738,976.03778601997,9757.802908302936,2342952.060738157,984622.0060881344
13120703,2.13715883,3204.39797107,0.9774474621952808,9.774472222294568,97.7444822381073,977.4208048647566,9771.78708377375,2317843.5852322867,1009202.3402764096
13123671,2.08869238,3229.42496978,0.9760686937090324,9.760684385891714,97.60658871814532,976.0403521737312,9757.828889521608,2342933.2152474094,984677.26581478
13123687,2.08869238,3229.42496978,0.9745854091246348,9.74585137147108,97.4582417141407,974.5551940188554,9742.806338343871,2368286.463564495,959930.7919070192
13125114,2.04410151,3175.50473155,0.9729948233099224,9.729945326536216,97.29916258362545,972.9625322019924,9726.69024743344,2393757.4810794187,935108.522041828
13126690,2.06467638,3172.8439159,0.9757449840559914,9.757447253102734,97.57421376394242,975.7162395434998,9754.550992601518,2348653.3482259344,979156.9079830184
13127322,2.20234868,3178.9474726,0.970857754068,9.70857437404437,97.0854270480631,970.8225723964496,9705.026780497745,2425521.5185081977,904278.5910701238
13131471,2.08581424,3231.22742764,0.9689900725196434,9.689897323164685,96.89863299654333,968.9522744943924,9686.084912147671,2451141.259839339,879410.4526105927
13133182,2.25442931,3418.11495602,0.9660673620372372,9.66066983601359,96.60631988718008,966.025314460344,9656.427201451632,2487813.4879030325,843901.4446770838
13133267,2.31764128,3418.11495602,0.9640776601235536,9.6407725475206,96.4073200629396,964.0326185871778,9636.226735146416,2510685.487903032,821811.4774442535
